Data Name	Type	Date	Growth	TimePoint	??C	Mutant	Media	MediaGrowthProperties	Strain used	Strain array	Reference	ArrayExpressId	ArrayExpressTechnoID
1,2NaCl_F2365_JCVI_2010_EGDe	Transcription Profiling	03/07/16	Mid Logarithmiq Phase		30		HIB	HIB	Yersinia Pestis	Yersinia Pestis CO92	Unpublished	E-GEOD-30332	A-GEOD-9009
1,2NaCl_F2365_JCVI_2010_F2365	Transcription Profiling	03/07/16	Mid Logarithmiq Phase		37		HIB	HIB	Yersinia Pestis	Yersinia Pestis CO92	Unpublished	E-GEOD-30331	A-GEOD-9009
10403S_BMM_Mouse_4h_WUSTL_2011_EGDe	Transcription Profiling	03/07/16	Mid Logarithmiq Phase		30		HIB	HIB	Yersinia Pestis	Yersinia Pestis CO92	Unpublished	E-GEOD-30329	A-GEOD-9009
10403S_BMM_Mouse_4h_WUSTL_2011_F2365	Transcription Profiling	03/07/16	Mid Logarithmiq Phase		37		HIB	HIB	Yersinia Pestis	Yersinia Pestis CO92	Unpublished	E-GEOD-30328	A-GEOD-9009
10403S_CUFSL_2011	Transcription Profiling	03/07/16	Mid Logarithmiq Phase		37	Pgm-	BHI	BHI	Yersinia Pestis	Yersinia Pestis CO92	Unpublished	E-GEOD-30341	A-GEOD-10439
10403S_CUFSL_2014	Transcription Profiling	03/07/16	Mid Logarithmiq Phase		30 or 37	Pgm-	HIB	HIB	Yersinia Pestis	Yersinia Pestis CO92	Yu J et al., "Analysis of autoinducer-2 quorum sensing in Yersinia pestis.", Infect Immun, 2013 Aug 19;81(11):4053-62	E-GEOD-30333	A-GEOD-10439
10403S_Internalin_CUFSL_2010	Transcription Profiling	03/07/16	Mid Logarithmiq Phase		37	Pgm-	BHI	BHI	Yersinia Pestis	Yersinia Pestis CO92	Unpublished	E-GEOD-30073	A-GEOD-10439
10403S_JCVI_2013_EGDe	Transcription Profiling	03/07/16	Mid Logarithmiq Phase		30	Pgm-	HIB	HIB	Yersinia Pestis	Yersinia Pestis CO92	Unpublished	E-GEOD-30238	A-GEOD-10439
10403S_JCVI_2013_F2365	Transcription Profiling	03/07/16	Mid Logarithmiq Phase		30	Pgm-	HIB	HIB	Yersinia Pestis	Yersinia Pestis CO92	Yu J et al., "Analysis of autoinducer-2 quorum sensing in Yersinia pestis.", Infect Immun, 2013 Aug 19;81(11):4053-62	E-GEOD-30237	A-GEOD-10439
10403S_WUSTL_2011_EGDe	Transcription Profiling	03/07/16	Late Logarithmiq Phase		30	Pgm-	HI	HI	Yersinia Pestis	Yersinia Pestis CO92	Yu J et al., "Analysis of autoinducer-2 quorum sensing in Yersinia pestis.", Infect Immun, 2013 Aug 19;81(11):4053-62	E-GEOD-30109	A-GEOD-10117
10403S_WUSTL_2011_F2365	Transcription Profiling	03/07/16	Late Logarithmiq Phase		30	Pgm-	HIB	HIB	Yersinia Pestis	Yersinia Pestis CO92	Yu J et al., "Analysis of autoinducer-2 quorum sensing in Yersinia pestis.", Infect Immun, 2013 Aug 19;81(11):4053-62	E-GEOD-30108	A-GEOD-10117
10C_Agilent_2012	Transcription Profiling	03/07/16	Mid Logarithmiq Phase		30		HIB	HIB	Yersinia Pestis	Yersinia Pestis CO92	Unpublished	E-GEOD-29240	A-GEOD-9009
10NaCl_25C_ATCC19115_Tasmania_2013	Transcription Profiling	03/07/16	Mid Logarithmiq Phase		37	Pgm-	BHI	BHI	Yersinia Pestis	Yersinia Pestis CO92	Yu J et al., "Analysis of autoinducer-2 quorum sensing in Yersinia pestis.", Infect Immun, 2013 Aug 19;81(11):4053-62	E-GEOD-22847	A-GEOD-10439
12Nacl_25C_ScottA_Tasmania_2013	Transcription Profiling	03/07/16	Mid Logarithmiq Phase		30	Pgm-	BHI	BHI	Yersinia Pestis	Yersinia Pestis CO92	Yu J et al., "Analysis of autoinducer-2 quorum sensing in Yersinia pestis.", Infect Immun, 2013 Aug 19;81(11):4053-62	E-GEOD-20217	A-GEOD-10439
12h_Biofilm_J0161_Agilent_2012	Transcription Profiling	01/07/16	Stationary Phase		26 then 37		LB THEN 2,5mM CaCl2	LB, CaCl2	Yersinia Pseudotuberculosis	Yersinia Pseudotuberculosis YPIII & pYV plasmid of Yersinia Pseudotuberculosis IP32953	Avican U et al., "Transcriptomic and Phenotypic Analysis Reveals New Functions for the Tat Pathway in Yersinia pseudotuberculosis.", J Bacteriol, 2016 Sep 22;198(20):2876-86	E-GEOD-80531	A-GEOD-15095
12h_CoCulture_Broth_J0161_Agilent_2012	Transcription Profiling	01/07/16	Exponential Phase		26 then 37		LB THEN 2,5mM CaCl2	LB, CaCl2	Yersinia Pseudotuberculosis	Yersinia Pseudotuberculosis YPIII & pYV plasmid of Yersinia Pseudotuberculosis IP32953	Avican U et al., "Transcriptomic and Phenotypic Analysis Reveals New Functions for the Tat Pathway in Yersinia pseudotuberculosis.", J Bacteriol, 2016 Sep 22;198(20):2876-86	E-GEOD-80530	A-GEOD-15095
15min_Acidified_37C_10403S_CUFSL_2011	Transcription Profiling	01/07/16	Stationary Phase		26		LB	LB	Yersinia Pseudotuberculosis	Yersinia Pseudotuberculosis YPIII & pYV plasmid of Yersinia Pseudotuberculosis IP32953	Avican U et al., "Transcriptomic and Phenotypic Analysis Reveals New Functions for the Tat Pathway in Yersinia pseudotuberculosis.", J Bacteriol, 2016 Sep 22;198(20):2876-86	E-GEOD-80529	A-GEOD-15095
15min_Acidified_7C_10403S_CUFSL_2011	Transcription Profiling	01/07/16	Exponential Phase		26		LB	LB	Yersinia Pseudotuberculosis	Yersinia Pseudotuberculosis YPIII & pYV plasmid of Yersinia Pseudotuberculosis IP32953	Avican U et al., "Transcriptomic and Phenotypic Analysis Reveals New Functions for the Tat Pathway in Yersinia pseudotuberculosis.", J Bacteriol, 2016 Sep 22;198(20):2876-86	E-GEOD-80528	A-GEOD-15095
15min_Acidified_Stat_37C_10403S_CUFSL_2011	Transcription Profiling	30/03/16	Growth Inhibition ?	45, 90, 120	28		MHB	MHB & 150rpm 2h	BHIA-plated Y. pestis Kimberley53	BHIA-plated Y. pestis Kimberley53	Steinberger-Levy I, Shifman O, Zvi A, Ariel N et al. A Rapid Molecular Test for Determining Yersinia pestis Susceptibility to Ciprofloxacin by the Quantification of Differentially Expressed Marker Genes. Front Microbiol 2016;7:763. PMID: 27242774	E-GEOD-79687	A-GEOD-21664
15min_Acidified_Stat_7C_10403S_CUFSL_2011	comparative genomic hybridization by array  Profiling	11/02/16			N/A		N/A	N/A	Yersinia Pestis et al	Rodent Chip DNA	Unpublished	E-GEOD-77765	A-GEOD-21445
